ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
1,3/9/2022 0:00,3,9,4,11,2022,RA1,1800,boots,30,$300.00 ,Outback,2022-3-9 2059.000000000000,EST,247-995-2843,9711
2,4/19/2022 0:00,4,19,3,17,2022,RA3,1000,ponies,1,$25.00 ,Malibu,2022-4-19 1203.000000000000,EST,748-203-3397,6895
3,5/31/2022 0:00,5,31,3,23,2022,RM4,1700,pizza,6,$48.00 ,Malibu,,,748-203-3397,6759
4,2/24/2022 0:00,2,24,5,9,2022,RA1,1200,pones,1,$25.00 ,Durango,2022-2-24 1406.000000000000,EST,694-583-9924,5873
5,7/12/2022 0:00,7,12,3,29,2022,RM4,1700,pizza,6,$48.00 ,Santa Fe,,,451-518-5194,9449
6,3/8/2022 0:00,3,8,3,11,2022,RM4,1700,pizza,7,$56.00 ,Santa Fe,2022-3-8 1906.000000000000,EST,451-518-5194,6606
7,11/9/2021 0:00,11,9,3,46,2021,RM4,1700,pizza,6,$48.00 ,Santa Fe,2021-11-9 1922.000000000000,EST,451-518-5194,8051
8,6/7/2022 0:00,6,7,3,24,2022,RM4,1700,pizza,3,$24.00 ,Santa Fe,,,451-518-5194,8598
9,4/18/2022 0:00,4,18,2,17,2022,RA1,1800,pizza,5,$40.00 ,Outback,2022-4-18 2030.000000000000,EST,247-995-2843,2428
10,12/31/2021 0:00,12,31,6,53,2021,RM4,930,ponies,1,$25.00 ,Durango,2021-12-31 1141.000000000000,EST,694-583-9924,6967
11,4/23/2022 0:00,4,23,7,17,2022,RE1,800,pizza,8,$64.00 ,Santa Fe,2022-4-23 1018.000000000000,EST,451-518-5194,1845
12,11/5/2021 0:00,11,5,6,45,2021,RA1,1800,pizza,5,$40.00 ,Tucson,2021-11-5 2158.000000000000,EST,247-995-2843,9375
13,7/3/2022 0:00,7,3,1,28,2022,RA1,1800,pizza,4,$32.00 ,Outback,,,247-995-2843,4790
14,2/15/2022 0:00,2,15,3,8,2022,RM4,1700,pizza,1,$8.00 ,Santa Fe,2022-2-15 1916.000000000000,EST,451-518-5194,5133
15,3/21/2022 0:00,3,21,2,13,2022,RA1,1800,corn,15,$150.00 ,Outback,2022-3-21 2154.000000000000,EST,247-995-2843,5608
16,2/19/2022 0:00,2,19,7,8,2022,RE1,900,pizza,15,$120.00 ,Santa Fe,2022-2-19 1117.000000000000,EST,451-518-5194,779
17,5/3/2022 0:00,5,3,3,19,2022,RM4,1700,pizza,3,$24.00 ,Santa Fe,2022-5-3 1916.000000000000,EST,451-518-5194,1556
18,5/16/2022 0:00,5,16,2,21,2022,RJ1,1430,ponies,1,$25.00 ,Durango,2022-5-16 1630.000000000000,EST,694-583-9924,5317
19,6/4/2022 0:00,6,4,7,23,2022,RE1,830,tires,20,,Baja,,,297-445-1385,7575
20,5/24/2022 0:00,5,24,3,22,2022,RA1,1800,corn,15,$150.00 ,Outback,,,247-995-2843,9767
21,2/9/2022 0:00,2,9,4,7,2022,RA1,1800,tires,10,$30.00 ,Tucson,2022-2-9 2020.000000000000,EST,247-995-2843,1974
22,11/27/2021 0:00,11,27,7,48,2021,RA3,,corn,25,$250.00 ,Malibu,2021-11-27 0329.000000000000,EST,748-203-3397,7251
23,3/15/2022 0:00,3,15,3,12,2022,RM4,1700,pizza,1,$8.00 ,Santa Fe,2022-3-15 1907.000000000000,EST,451-518-5194,6104
